ER53001,ER53002,ER53017,ER57482,ER58255
3,2391,39,2,3
3,3542,37,1,1
3,1747,72,0,4
3,547,61,0,2
3,7765,60,2,2
3,6033,55,2,1
3,273,54,10,2
3,833,28,2,1
3,7567,25,2,2
3,5894,24,8,4
3,2411,24,8,4
3,6952,23,2,2
3,2742,59,0,1
3,4670,53,19,4
3,7527,28,0,1
3,7695,37,8,4
3,6342,70,2,1
3,7494,69,1,4
3,7542,46,24,4
3,6948,39,6,2
3,8198,29,0,4
3,8046,29,0,1
3,8137,26,2,1
3,7249,39,2,2
3,3081,74,2,3
3,8245,37,3,4
3,2695,49,4,2
3,4285,46,6,4
3,4006,80,6,4
3,854,56,0,1
3,1088,38,4,1
3,3065,36,0,1
3,2921,30,0,1
3,4776,20,2,4
3,2071,69,0,1
3,825,63,2,2
3,4222,45,2,1
3,853,69,0,3
3,4781,66,7,3
3,6810,41,19,4
3,969,43,4,1
3,406,70,1,1
3,2344,75,4,1
3,7477,29,0,1
3,892,75,0,1
3,467,51,4,4
3,8409,54,0,2
3,3953,53,0,4
3,3593,52,0,4
3,4136,24,5,2
3,6,23,2,4
3,2757,27,4,4
3,6221,36,12,4
3,1972,78,0,1
3,744,47,0,4
3,8461,55,3,1
3,3689,48,0,1
3,3009,33,1,4
3,2700,32,3,1
3,5041,74,0,2
3,6676,58,2,1
3,9027,28,8,1
3,6263,25,2,1
3,5435,54,0,1
3,6244,27,2,1
3,8829,43,4,2
3,8656,26,2,4
3,8945,63,14,2
3,154,69,4,1
3,3818,49,4,4
3,3732,46,2,1
3,1295,43,6,2
3,4118,22,4,4
3,7439,21,16,2
3,5255,21,1,2
3,1958,63,13,4
3,3696,64,2,1
3,1056,43,0,2
3,1533,39,6,1
3,2082,53,2,1
3,38,85,0,2
3,5148,25,1,4
3,2726,49,11,3
3,1892,58,2,2
3,4299,52,2,3
3,8421,48,0,4
3,1343,34,6,4
3,3013,59,8,1
3,4828,29,2,1
3,7297,34,4,1
3,7058,80,99,4
3,7751,53,0,4
3,5251,22,0,4
3,4376,46,0,4
3,7265,76,3,4
3,4809,57,0,1
3,3468,54,6,1
3,2530,58,7,2
3,5235,38,5,4
3,2466,35,0,2
3,7791,35,15,2
3,275,30,0,1
3,3317,20,2,4
3,7154,36,0,4
3,1272,63,4,1
3,2648,53,7,3
3,6975,33,8,2
3,815,36,2,1
3,4783,42,20,1
3,1767,31,8,4
3,5359,24,0,2
3,6384,86,4,2
3,6606,52,3,2
3,2451,49,7,2
3,8641,24,4,4
3,7670,79,2,2
3,7930,34,2,2
3,1424,25,2,2
3,3375,57,0,1
3,948,39,2,1
3,7857,58,4,2
