ER30001,ER30002,PCGID68,PCGPN,CDSHID,CHLDINST,PCGINST
2802,31,2802,172,1708,3,2
2802,32,2802,172,1708,4,2
2802,33,2802,172,1708,5,2
2802,34,2802,173,1709,3,1
2802,35,2802,173,1709,4,1
2805,32,2805,31,1711,3,2
2805,33,2805,30,1710,3,1
2805,34,2805,31,1711,4,2
2805,35,2805,31,1711,5,2
2806,34,2806,173,1712,3,2
2806,35,2806,173,1712,4,2
2806,36,2806,173,1712,5,2
2816,36,2816,33,1713,3,2
2816,37,2816,33,1713,4,2
2816,38,2816,33,1713,5,2
2827,32,2827,173,1715,4,2
2827,33,2827,174,1716,2,1
2827,34,2827,172,1714,3,2
2827,178,2827,173,1715,3,2
2828,33,2828,31,1717,2,1
2831,34,2831,4,1718,3,2
2835,32,2835,4,1720,3,2
